变更单 ID,变更类型,变更单地址,项目 ID,项目名称,应用ID,应用名称,软件版本,配置变量版本,配置模版版本,流水线 ID,审批人,执行人,变更单开始时间,变更单结束时间,变更实例数目,任务正式变更总时长（全量时长）,是否灰度,第一个实例到第二个实例执行间隔,在 10min 内开始执行实例数,在 10min 内开始执行实例比例,是否灰度单台,最后 10min 内完成执行实例数,最后 10min 内完成执行实例比例,批量策略是否合格,最大并发实例数,最大并发实例比例,是否有暂停/观察,暂停/观察点数目,暂停/观察时间大于 30min 点数目,第一个暂停/观察点时长,第一个暂停/观察点时长是否大于 30min,是否强制回滚验证,变更单是否存在回滚,回滚实例数,回滚时长,不合规信息
8896409,版本发布,http://zhiyan.woa.com/cicd/818/deploy/#/deploy/detail/8896409,818,通讯平台_微信C2C传图,17457,c2c_front_soc,24.7.1.2,"{""version_name"":""v_20240823101334"",""version_uuid"":""345875da-dc97-487f-ad82-d725500ae37c""}",24.6.1.8,0,null,v_lixzheng,2024-08-23 14:46:21,2024-08-23 15:06:06,75,14m35s,true,2m41s,58,77.33333333333333,false,74,98.66666666666667,false,20,26.666666666666668,true,1,0,5s,false,true,false,0,0s,"变更单全量耗时小于 30min! 
变更单未进行灰度单台！
变更单第一个暂停/观察点时长小于 30min! 
变更单全量第一批实例（前十分钟）内开始执行实例数目大于 10%! 
变更单全量最后一批实例（最后十分钟）内变更实例超过 50%! 
变更实例数目超过 10 个且暂停超过 30min 暂停数目不超过 3 个！
"
8893749,版本发布,http://zhiyan.woa.com/cicd/818/deploy/#/deploy/detail/8893749,818,通讯平台_微信C2C传图,5681,zone_slave_24,240820,,v_20240814173954,0,null,winonali,2024-08-23 11:39:40,2024-08-23 14:03:46,3,2h3m43s,true,2h1m5s,1,33.33333333333333,true,2,66.66666666666666,false,2,66.66666666666666,true,1,1,1h57m29s,true,true,false,0,0s,"变更单全量第一批实例（前十分钟）内开始执行实例数目大于 10%! 
变更单全量最后一批实例（最后十分钟）内变更实例超过 50%! 
变更实例数目不超过 10 个且暂停超过 30min 暂停数目不超过 2 个！
"
8888461,版本发布,http://zhiyan.woa.com/cicd/818/deploy/#/deploy/detail/8888461,818,通讯平台_微信C2C传图,17457,c2c_front_soc,24.7.1.2,"{""version_name"":""v_20240823101334"",""version_uuid"":""345875da-dc97-487f-ad82-d725500ae37c""}",24.6.1.8,0,null,v_lixzheng,2024-08-23 10:25:08,2024-08-23 10:59:15,169,29m26s,true,2m35s,59,34.9112426035503,false,69,40.828402366863905,true,20,11.834319526627219,true,1,0,5s,false,true,false,0,0s,"变更单未进行灰度单台！
变更单第一个暂停/观察点时长小于 30min! 
变更单全量第一批实例（前十分钟）内开始执行实例数目大于 10%! 
变更实例数目超过 10 个且暂停超过 30min 暂停数目不超过 3 个！
"
8888157,版本发布,http://zhiyan.woa.com/cicd/818/deploy/#/deploy/detail/8888157,818,通讯平台_微信C2C传图,17457,c2c_front_soc,24.7.1.2,"{""version_name"":""v_20240823101334"",""version_uuid"":""345875da-dc97-487f-ad82-d725500ae37c""}",24.6.1.8,0,null,v_lixzheng,2024-08-23 10:25:14,2024-08-23 10:50:58,86,20m28s,true,3m10s,46,53.48837209302325,false,50,58.139534883720934,false,20,23.25581395348837,true,1,0,4s,false,true,false,0,0s,"变更单全量耗时小于 30min! 
变更单未进行灰度单台！
变更单第一个暂停/观察点时长小于 30min! 
变更单全量第一批实例（前十分钟）内开始执行实例数目大于 10%! 
变更单全量最后一批实例（最后十分钟）内变更实例超过 50%! 
变更实例数目超过 10 个且暂停超过 30min 暂停数目不超过 3 个！
"
8886146,版本发布,http://zhiyan.woa.com/cicd/818/deploy/#/deploy/detail/8886146,818,通讯平台_微信C2C传图,5669,front_sns_12,2024072214,"{""version_name"":""v_20240715165046"",""version_uuid"":""1b3f884f-91dc-466d-94fa-c0568e175e0c""}",v_20240730163000,0,null,ahwang,2024-08-23 03:25:24,2024-08-23 03:47:53,56,19m21s,true,2m14s,26,46.42857142857143,false,40,71.42857142857143,false,10,17.857142857142858,true,1,0,5s,false,true,false,0,0s,"变更单全量耗时小于 30min! 
变更单未进行灰度单台！
变更单第一个暂停/观察点时长小于 30min! 
变更单全量第一批实例（前十分钟）内开始执行实例数目大于 10%! 
变更单全量最后一批实例（最后十分钟）内变更实例超过 50%! 
变更实例数目超过 10 个且暂停超过 30min 暂停数目不超过 3 个！
"
8877060,版本发布,http://zhiyan.woa.com/cicd/818/deploy/#/deploy/detail/8877060,818,通讯平台_微信C2C传图,5681,zone_slave_24,240820,,v_20240814173954,0,null,winonali,2024-08-22 16:58:24,2024-08-22 17:13:36,1,3m19s,false,0s,1,100,true,1,100,false,1,100,false,0,0,0s,false,true,false,0,0s,"变更单全量耗时小于 30min! 
变更单第一个暂停/观察点时长小于 30min! 
变更单全量第一批实例（前十分钟）内开始执行实例数目大于 10%! 
变更单全量最后一批实例（最后十分钟）内变更实例超过 50%! 
变更实例数目不超过 10 个且暂停超过 30min 暂停数目不超过 2 个！
"
8876953,版本发布,http://zhiyan.woa.com/cicd/818/deploy/#/deploy/detail/8876953,818,通讯平台_微信C2C传图,12869,front_sns_SOCRelease,20240813170721,"{""version_name"":""v_20240822151215"",""version_uuid"":""01f5ed4c-287e-4761-9935-b27c5ab70929""}",v_20240813133814,0,null,v_lixzheng,2024-08-22 16:56:45,2024-08-22 17:23:22,110,20m26s,true,1m31s,52,47.27272727272727,false,60,54.54545454545454,false,10,9.090909090909092,true,1,0,5s,false,true,false,0,0s,"变更单全量耗时小于 30min! 
变更单未进行灰度单台！
变更单第一个暂停/观察点时长小于 30min! 
变更单全量第一批实例（前十分钟）内开始执行实例数目大于 10%! 
变更单全量最后一批实例（最后十分钟）内变更实例超过 50%! 
变更实例数目超过 10 个且暂停超过 30min 暂停数目不超过 3 个！
"
8876092,版本发布,http://zhiyan.woa.com/cicd/818/deploy/#/deploy/detail/8876092,818,通讯平台_微信C2C传图,18793,hevc_trsf_dc,5.0.1,"{""version_name"":""v_20230315211853"",""version_uuid"":""d9bc7799-4b44-4953-92cc-a1a08a584d00""}",v_20240822161830,0,null,winonali,2024-08-22 16:21:18,2024-08-22 16:21:56,1,3s,false,0s,1,100,true,1,100,false,1,100,false,0,0,0s,false,true,false,0,0s,"变更单全量耗时小于 30min! 
变更单第一个暂停/观察点时长小于 30min! 
变更单全量第一批实例（前十分钟）内开始执行实例数目大于 10%! 
变更单全量最后一批实例（最后十分钟）内变更实例超过 50%! 
变更实例数目不超过 10 个且暂停超过 30min 暂停数目不超过 2 个！
"
8875711,版本发布,http://zhiyan.woa.com/cicd/818/deploy/#/deploy/detail/8875711,818,通讯平台_微信C2C传图,18793,hevc_trsf_dc,5.0.1,"{""version_name"":""v_20230315211853"",""version_uuid"":""d9bc7799-4b44-4953-92cc-a1a08a584d00""}",v_20240822152027,0,null,winonali,2024-08-22 16:15:05,2024-08-22 16:20:31,1,38s,false,0s,1,100,true,1,100,false,1,100,false,0,0,0s,false,true,false,0,0s,"变更单全量耗时小于 30min! 
变更单第一个暂停/观察点时长小于 30min! 
变更单全量第一批实例（前十分钟）内开始执行实例数目大于 10%! 
变更单全量最后一批实例（最后十分钟）内变更实例超过 50%! 
变更实例数目不超过 10 个且暂停超过 30min 暂停数目不超过 2 个！
"
8873583,版本发布,http://zhiyan.woa.com/cicd/818/deploy/#/deploy/detail/8873583,818,通讯平台_微信C2C传图,12869,front_sns_SOCRelease,20240813170721,"{""version_name"":""v_20240822151215"",""version_uuid"":""01f5ed4c-287e-4761-9935-b27c5ab70929""}",v_20240813133814,0,null,v_lixzheng,2024-08-22 15:21:39,2024-08-22 15:41:54,108,11m57s,true,1m50s,104,96.29629629629629,false,107,99.07407407407408,false,20,18.51851851851852,true,1,0,4s,false,true,false,0,0s,"变更单全量耗时小于 30min! 
变更单未进行灰度单台！
变更单第一个暂停/观察点时长小于 30min! 
变更单全量第一批实例（前十分钟）内开始执行实例数目大于 10%! 
变更单全量最后一批实例（最后十分钟）内变更实例超过 50%! 
变更实例数目超过 10 个且暂停超过 30min 暂停数目不超过 3 个！
"
